Timestamp,G.Sun
,
1926-10-23 12:00,209.537
1927-04-20 12:00,29.618
1927-10-24 12:00,210.292
1928-04-20 12:00,30.36
1928-10-23 12:00,210.051
1929-04-20 12:00,30.121
1929-10-23 12:00,209.811
1930-04-20 12:00,29.88
1930-10-23 12:00,209.573
1931-04-20 12:00,29.653
1931-10-24 12:00,210.327
1932-04-20 12:00,30.393
1932-10-23 12:00,210.086
1933-04-20 12:00,30.156
1933-10-23 12:00,209.848
1934-04-20 12:00,29.924
1934-10-23 12:00,209.607
1935-04-20 12:00,29.687
1935-10-24 12:00,210.359
