Date,Day,Mercury,Venus,Earth,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,Isis
1995-06-26,Mon,318.527737694,58.0290713825,274.6343657,202.687706183,252.506805741,348.704617507,298.212104122,294.035773373,239.477711738,143.668739871
1995-06-27,Tue,322.142010038,59.6355611078,275.588378098,203.153009287,252.585897902,348.737480407,298.223288742,294.04178932,239.48459652,143.669765939
1995-06-28,Wed,325.850454881,61.2425379256,276.542324567,203.618861484,252.664997626,348.770343872,298.234471749,294.047803824,239.491479686,143.670790541
1995-06-29,Thu,329.659160983,62.8500008402,277.496197243,204.085264822,252.744101783,348.803204761,298.245650001,294.053813745,239.498358095,143.671810534
1995-06-30,Fri,333.574326044,64.4579491475,278.449988732,204.552221822,252.823207725,348.836060417,298.25682084,294.059816426,239.505229088,143.67282326
1995-07-01,Sat,337.602205942,66.0663829425,279.40369298,205.019736012,252.902313815,348.868909192,298.267982619,294.065810218,239.512091019,143.673827073
1995-07-02,Sun,341.749046812,67.6753035935,280.357306148,205.487812418,252.981419922,348.901750946,298.279135197,294.07179498,239.518943746,143.674821831
1995-07-03,Mon,346.020996527,69.284713957,281.310827265,205.956457799,253.060527655,348.934587279,298.290280174,294.077772313,239.52578887,143.675809135
1995-07-04,Tue,350.423992186,70.8946182787,282.264258645,206.425680573,253.13964029,348.967421457,298.301420815,294.083745481,239.532629655,143.676792249
1995-07-05,Wed,354.963620378,72.5050218661,283.217606157,206.895490507,253.21876246,349.000258101,298.312561742,294.089719108,239.539470725,143.677775796
1995-07-06,Thu,359.644947256,74.1159305224,284.170879391,207.365898173,253.297899612,349.033102649,298.323708394,294.095698631,239.546317516,143.678765213
1995-07-07,Fri,364.472316086,75.7273495278,285.124091475,207.836913952,253.37705701,349.065960357,298.334866023,294.101689302,239.553175283,143.679765755
1995-07-08,Sat,369.449111403,77.3392820441,286.077258327,208.30854646,253.456238162,349.098834721,298.346038128,294.107694622,239.560047523,143.680780918
1995-07-09,Sun,374.577491719,78.9517273509,287.030397566,208.780800805,253.535443077,349.131725743,298.357224709,294.113714588,239.566934237,143.681810704
1995-07-10,Mon,379.858096374,80.5646798944,287.983527741,209.253677657,253.614667339,349.164628992,298.368421336,294.119744773,239.573830995,143.682850683
1995-07-11,Tue,385.289736261,82.1781300762,288.936668518,209.727174057,253.693902909,349.197536424,298.379619965,294.12577713,239.580729752,143.683892809
1995-07-12,Wed,390.869082338,83.7920668196,289.889841748,210.201286006,253.773140721,349.230438962,298.390811517,294.131802583,239.58762143,143.684928004
1995-07-13,Thu,396.590370386,85.4064807835,290.843072496,210.676011696,253.852373913,349.263329732,298.401989119,294.137814257,239.594499155,143.685949396
1995-07-14,Fri,402.445145735,87.0213665803,291.796388933,211.15135375,253.931600061,349.296206303,298.413150341,294.143809721,239.601360498,143.686954553
1995-07-15,Sat,408.42207708,88.6367229652,292.749820632,211.62731943,254.010821396,349.329070894,298.424297399,294.149791194,239.608207675,143.687945693
1995-07-16,Sun,414.506872304,90.2525512178,293.703395879,212.103919034,254.090043196,349.361928775,298.435435565,294.155763945,239.615045956,143.688928085
1995-07-17,Mon,420.682328902,91.8688528852,294.657139164,212.581163661,254.169271552,349.394786025,298.446570917,294.161734054,239.621881421,143.68990781
1995-07-18,Tue,426.928545242,93.4856280569,295.611069805,213.059063497,254.248511657,349.42764783,298.457708641,294.167706705,239.628719255,143.690890052
1995-07-19,Wed,433.223306031,95.1028746178,296.565201832,213.53762709,254.327767078,349.460517746,298.468852291,294.173685455,239.635563014,143.691878366
1995-07-20,Thu,439.542636668,96.7205881941,297.519544603,214.016861302,254.407039714,349.493397662,298.480003758,294.179672191,239.642414585,143.692874642
1995-07-21,Fri,445.861502226,98.3387623107,298.474103527,214.496771488,254.486329967,349.526287971,298.491163434,294.185667308,239.649274363,143.693879272
1995-07-22,Sat,452.154604641,99.9573885346,299.428880625,214.977361648,254.565636902,349.559187727,298.502330373,294.191669859,239.6561414,143.69489131
1995-07-23,Sun,458.397215764,101.576456666,300.383874987,215.458634625,254.644958444,349.592094847,298.513502491,294.197677759,239.663013614,143.695908671
1995-07-24,Mon,464.565980894,103.195955061,301.339083266,215.940592446,254.724291715,349.625006444,298.5246769,294.203688121,239.669888115,143.696928469
1995-07-25,Tue,470.639625434,104.815871046,302.294500201,216.423236734,254.803633454,349.657919245,298.535850328,294.209697674,239.676761632,143.69794743
1995-07-26,Wed,476.599512813,106.436191311,303.250119135,216.906569116,254.882980419,349.69083,298.547019525,294.215703165,239.683630914,143.698962304
1995-07-27,Thu,482.430021576,108.056902296,304.205932573,217.390591612,254.962329778,349.723735869,298.558181648,294.221701753,239.690493119,143.699970249
1995-07-28,Fri,488.11873246,109.677990639,305.161932881,217.875307085,255.041679562,349.756634871,298.569334719,294.22769146,239.697346267,143.700969286
