Timestamp,H.Mercury
1931-12-20 12:00,84.289
1932-02-03 12:00,262.524
1932-03-17 12:00,84.486
1932-05-01 12:00,262.611
1932-06-13 12:00,84.685
1932-07-28 12:00,262.7
1932-09-09 12:00,84.884
1932-10-24 12:00,262.788
1932-12-06 12:00,85.08
1933-01-20 12:00,262.876
1933-03-04 12:00,85.274
1933-04-18 12:00,262.965
1933-05-31 12:00,85.473
1933-07-15 12:00,263.054
1933-08-27 12:00,85.673
1933-10-11 12:00,263.142
1933-11-23 12:00,85.871
1934-01-07 12:00,263.231
1934-02-19 12:00,86.068
1934-04-05 12:00,263.318
1934-05-18 12:00,86.265
1934-07-02 12:00,263.408
1934-08-14 12:00,86.465
1934-09-28 12:00,263.497
1934-11-10 12:00,86.664
1934-12-25 12:00,263.587
1935-02-06 12:00,86.862
1935-03-23 12:00,263.675
1935-05-05 12:00,87.057
1935-06-19 12:00,263.763
1935-08-01 12:00,87.255
1935-09-15 12:00,263.852
1935-10-28 12:00,87.454
1935-12-12 12:00,263.941
