Timestamp,G.Moon/G.Sun
1915-01-05 12:00,229.869
1915-01-19 12:00,50.656
1915-02-03 12:00,224.142
1915-02-17 12:00,41.463
1915-03-05 12:00,232.538
1915-03-19 12:00,43.66
1915-04-03 12:00,228.315
1915-04-18 12:00,46.265
1915-05-02 12:00,224.097
1915-05-18 12:00,49.905
1915-05-31 12:00,219.579
1915-06-16 12:00,43.637
1915-06-30 12:00,227.515
1915-07-16 12:00,50.208
1915-07-29 12:00,221.385
1915-08-14 12:00,46.023
1915-08-28 12:00,226.303
1915-09-12 12:00,42.198
1915-09-27 12:00,229.642
1915-10-12 12:00,51.868
1915-10-26 12:00,221.098
1915-11-10 12:00,47.351
1915-11-25 12:00,223.117
1915-12-09 12:00,41.61
1915-12-25 12:00,225.518
1916-01-08 12:00,47.958
1916-01-24 12:00,229.402
1916-02-06 12:00,40.141
1916-02-22 12:00,223.114
1916-03-07 12:00,44.191
1916-03-23 12:00,230.912
1916-04-06 12:00,47.352
1916-04-21 12:00,226.97
1916-05-05 12:00,39.255
1916-05-20 12:00,223.322
1916-06-04 12:00,42.469
1916-06-18 12:00,219.549
1916-07-04 12:00,46.38
1916-07-18 12:00,228.814
1916-08-02 12:00,40.165
1916-08-16 12:00,223.541
1916-09-01 12:00,46.509
1916-09-15 12:00,229.571
1916-09-30 12:00,41.716
1916-10-14 12:00,221.819
1916-10-30 12:00,50.084
1916-11-13 12:00,224.364
1916-11-28 12:00,45.303
1916-12-13 12:00,225.831
1916-12-27 12:00,39.84
1917-01-12 12:00,227.432
1917-01-26 12:00,47.444
1917-02-11 12:00,230.313
1917-02-24 12:00,40.805
1917-03-12 12:00,223.389
1917-03-26 12:00,46.54
1917-04-11 12:00,230.02
1917-04-25 12:00,50.867
1917-05-10 12:00,225.793
1917-05-24 12:00,43.123
1917-06-08 12:00,222.244
1917-06-23 12:00,46.54
1917-07-08 12:00,232.731
1917-07-22 12:00,39.165
1917-08-06 12:00,229.248
1917-08-21 12:00,43.097
